dataset,model,subset_size,subset,n_questions,mean_hcds,t_statistic,p_value_two_sided,positive,significant_positive
GSM8K n=50,thinking,2,"token_entropy_mean,mechanistic_intervention_delta_accuracy",50,0.0116,0.072,0.9431533671671712,1,0
GSM8K n=50,thinking,2,"token_entropy_slope,paraphrase_consistency",50,0.3925,2.106,0.040389812787852364,1,1
GSM8K n=50,thinking,2,"token_entropy_slope,perturbation_delta_accuracy",50,0.6905,3.164,0.0026734028047481484,1,1
GSM8K n=50,thinking,2,"token_entropy_slope,mechanistic_intervention_delta_accuracy",50,0.3418,1.748,0.08674380023408257,1,0
GSM8K n=50,thinking,2,"paraphrase_consistency,perturbation_delta_accuracy",50,-0.1234,-0.609,0.5452027293351769,0,0
GSM8K n=50,thinking,2,"paraphrase_consistency,mechanistic_intervention_delta_accuracy",50,-0.2631,-1.588,0.11869567987733709,0,0
GSM8K n=50,thinking,2,"perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",50,-0.1711,-0.95,0.3467803027283247,0,0
GSM8K n=50,thinking,3,"latency_per_output_token,token_entropy_mean,token_entropy_slope",50,0.9752,6.701,1.931305271263284e-08,1,1
GSM8K n=50,thinking,3,"latency_per_output_token,token_entropy_mean,paraphrase_consistency",50,0.3144,2.201,0.032498012407812915,1,1
GSM8K n=50,thinking,3,"latency_per_output_token,token_entropy_mean,perturbation_delta_accuracy",50,0.4662,2.716,0.009109385160727124,1,1
GSM8K n=50,thinking,3,"latency_per_output_token,token_entropy_mean,mechanistic_intervention_delta_accuracy",50,0.3349,2.082,0.042554910308972405,1,1
GSM8K n=50,thinking,3,"latency_per_output_token,token_entropy_slope,paraphrase_consistency",50,0.6323,3.828,0.00036689621067220735,1,1
GSM8K n=50,thinking,3,"latency_per_output_token,token_entropy_slope,perturbation_delta_accuracy",50,0.8048,3.982,0.0002263235734050184,1,1
GSM8K n=50,thinking,3,"latency_per_output_token,token_entropy_slope,mechanistic_intervention_delta_accuracy",50,0.5922,3.353,0.001548063902425012,1,1
GSM8K n=50,thinking,3,"latency_per_output_token,paraphrase_consistency,perturbation_delta_accuracy",50,0.2234,1.136,0.26129522433492514,1,0
GSM8K n=50,thinking,3,"latency_per_output_token,paraphrase_consistency,mechanistic_intervention_delta_accuracy",50,0.1177,0.733,0.4667924569662627,1,0
GSM8K n=50,thinking,3,"latency_per_output_token,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",50,0.1908,1.058,0.2951756008845945,1,0
GSM8K n=50,thinking,3,"token_entropy_mean,token_entropy_slope,paraphrase_consistency",50,0.4746,2.619,0.011701895952073604,1,1
GSM8K n=50,thinking,3,"token_entropy_mean,token_entropy_slope,perturbation_delta_accuracy",50,0.7505,3.658,0.0006208824222158071,1,1
GSM8K n=50,thinking,3,"token_entropy_mean,token_entropy_slope,mechanistic_intervention_delta_accuracy",50,0.4339,2.208,0.03197784718207686,1,1
GSM8K n=50,thinking,3,"token_entropy_mean,paraphrase_consistency,perturbation_delta_accuracy",50,0.0074,0.04,0.9684611907958558,1,0
GSM8K n=50,thinking,3,"token_entropy_mean,paraphrase_consistency,mechanistic_intervention_delta_accuracy",50,-0.1462,-0.882,0.38199858775363493,0,0
GSM8K n=50,thinking,3,"token_entropy_mean,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",50,-0.0467,-0.265,0.791747407089169,0,0
